Customer_ID,Gender,City,Membership,Age,Annual_Income,Purchase
1,Male,Rajkot,Silver,49,81755,1
2,Female,Ahmedabad,Silver,41,42413,0
3,Male,Vadodara,Silver,27,94927,1
4,Female,Vadodara,Silver,30,26222,0
5,Female,Ahmedabad,Bronze,49,75846,1
6,Male,Ahmedabad,Silver,33,80785,1
7,Male,Rajkot,Bronze,41,94426,1
8,Male,Vadodara,Bronze,22,60292,1
9,Female,Rajkot,Bronze,49,54756,0
10,Female,Vadodara,Bronze,32,63054,1
11,Female,Vadodara,Gold,42,57287,0
12,Male,Rajkot,Silver,36,78097,1
13,Female,Vadodara,Bronze,26,42534,0
14,Female,Ahmedabad,Gold,37,58569,1
15,Male,Surat,Bronze,42,63591,1
16,Female,Ahmedabad,Gold,41,32525,1
17,Female,Ahmedabad,Gold,33,44036,1
18,Female,Vadodara,Gold,32,53416,1
19,Male,Ahmedabad,Bronze,23,91317,1
20,Female,Rajkot,Gold,22,50151,1
21,Female,Surat,Bronze,37,94563,1
22,Male,Surat,Bronze,36,52337,0
23,Male,Surat,Gold,42,29526,0
24,Male,Rajkot,Silver,28,78145,1
25,Male,Vadodara,Bronze,30,99060,0
26,Male,Rajkot,Silver,22,43340,0
27,Male,Vadodara,Silver,27,99378,1
28,Male,Ahmedabad,Bronze,36,49887,0
29,Female,Ahmedabad,Bronze,37,82881,0
30,Male,Vadodara,Gold,37,32467,1
31,Female,Rajkot,Gold,45,41494,1
32,Female,Ahmedabad,Bronze,23,90830,1
33,Male,Rajkot,Bronze,22,86009,1
34,Female,Vadodara,Silver,38,60583,1
35,Male,Surat,Bronze,32,68895,1
36,Female,Surat,Bronze,28,98272,0
37,Male,Vadodara,Gold,22,71533,1
38,Male,Vadodara,Silver,44,49099,0
39,Male,Surat,Bronze,40,26632,0
40,Male,Vadodara,Silver,39,52074,0
41,Male,Surat,Silver,44,77341,0
42,Female,Vadodara,Silver,22,34868,0
43,Male,Ahmedabad,Bronze,26,81925,1
44,Female,Ahmedabad,Gold,45,84485,1
45,Female,Vadodara,Gold,45,52708,1
46,Female,Vadodara,Bronze,22,93737,1
47,Male,Surat,Silver,23,90842,0
48,Male,Rajkot,Gold,46,59155,1
49,Male,Surat,Silver,43,28219,0
50,Male,Vadodara,Bronze,41,53931,0
51,Male,Rajkot,Gold,29,31150,1
52,Female,Surat,Silver,37,91689,1
53,Female,Rajkot,Silver,30,31107,0
54,Female,Ahmedabad,Bronze,50,27412,0
55,Male,Surat,Bronze,24,57283,0
56,Female,Rajkot,Gold,26,85813,1
57,Female,Rajkot,Silver,45,35255,0
58,Male,Vadodara,Gold,28,36486,1
59,Male,Rajkot,Gold,32,59864,1
60,Female,Ahmedabad,Bronze,48,38162,0
61,Male,Ahmedabad,Gold,47,54503,0
62,Male,Rajkot,Gold,26,97097,0
63,Male,Rajkot,Bronze,23,57040,0
64,Female,Ahmedabad,Silver,40,25761,0
65,Male,Vadodara,Silver,26,26140,0
66,Female,Rajkot,Silver,27,77466,1
67,Male,Vadodara,Gold,27,73436,1
68,Male,Surat,Gold,26,79594,1
69,Female,Vadodara,Silver,41,78417,0
70,Female,Vadodara,Silver,25,45034,0
71,Female,Surat,Bronze,42,95360,1
72,Male,Rajkot,Gold,32,86141,1
73,Female,Rajkot,Bronze,46,44073,0
74,Male,Surat,Silver,30,55956,0
75,Male,Surat,Bronze,49,63160,1
76,Male,Ahmedabad,Silver,30,60296,1
77,Female,Rajkot,Gold,32,84932,1
78,Male,Vadodara,Bronze,41,28216,0
79,Male,Ahmedabad,Gold,36,33398,1
80,Male,Ahmedabad,Silver,49,80536,1
81,Male,Vadodara,Gold,36,94779,1
82,Male,Vadodara,Silver,42,39444,0
83,Female,Rajkot,Gold,31,33715,0
84,Female,Vadodara,Gold,27,90333,1
85,Male,Ahmedabad,Silver,35,26241,0
86,Male,Vadodara,Silver,32,27389,0
87,Female,Rajkot,Silver,42,29138,0
88,Male,Rajkot,Gold,27,49709,1
89,Male,Rajkot,Gold,27,65377,0
90,Male,Surat,Silver,40,71383,1
91,Female,Ahmedabad,Gold,46,27394,1
92,Male,Rajkot,Silver,28,98859,1
93,Male,Surat,Bronze,41,44853,0
94,Male,Ahmedabad,Bronze,31,34441,0
95,Female,Rajkot,Gold,38,51917,1
96,Male,Vadodara,Silver,32,57111,0
97,Male,Ahmedabad,Gold,30,93242,1
98,Female,Ahmedabad,Bronze,46,28306,0
99,Male,Surat,Bronze,34,35048,0
100,Female,Vadodara,Silver,37,93214,1
