Employee_ID,Department,Education,Experience,Age,Salary
1,Finance,Master,14,38,104483
2,IT,Bachelor,8,42,70114
3,HR,Master,15,39,111042
4,HR,Bachelor,7,37,67407
5,Finance,Bachelor,5,44,52119
6,Finance,Bachelor,7,43,66940
7,IT,Master,7,38,69796
8,HR,Bachelor,11,42,87621
9,Finance,Master,13,34,97141
10,IT,Master,2,32,42261
11,HR,Master,8,28,74410
12,Finance,Bachelor,3,35,42462
13,IT,Bachelor,3,37,47616
14,IT,Bachelor,1,22,36560
15,IT,Master,4,25,52649
16,Finance,Bachelor,14,30,98692
17,Finance,Bachelor,5,22,57060
18,Finance,Bachelor,9,44,75947
19,IT,Bachelor,10,27,78378
20,IT,Bachelor,13,26,96146
21,IT,Master,10,25,87266
22,IT,Bachelor,8,37,70201
23,HR,Bachelor,3,30,43573
24,IT,Bachelor,11,28,84214
25,IT,Master,10,39,82162
26,Finance,Master,11,42,87111
27,Finance,Master,3,33,52785
28,Finance,Bachelor,6,28,62582
29,HR,Bachelor,1,28,35252
30,IT,Master,10,25,86180
31,IT,Bachelor,13,25,92140
32,HR,Bachelor,2,31,38828
33,IT,Bachelor,7,39,64792
34,IT,Master,7,31,69964
35,IT,Master,14,31,104059
36,Finance,Bachelor,7,25,65533
37,HR,Master,15,23,109772
38,HR,Bachelor,2,31,41526
39,Finance,Master,9,45,79790
40,HR,Master,9,26,77870
41,IT,Bachelor,13,39,96871
42,IT,Bachelor,11,34,86831
43,IT,Master,4,36,56411
44,HR,Bachelor,15,25,106220
45,HR,Bachelor,11,45,85550
46,IT,Bachelor,2,32,41508
47,IT,Master,8,42,75924
48,Finance,Bachelor,1,40,32586
49,Finance,Bachelor,10,36,77849
50,IT,Bachelor,7,26,62175
51,HR,Master,3,40,47627
52,IT,Master,11,36,89704
53,HR,Master,7,35,71032
54,HR,Master,15,22,112771
55,HR,Master,1,23,39779
56,Finance,Bachelor,12,34,87916
57,HR,Bachelor,14,41,99086
58,Finance,Master,6,30,65589
59,Finance,Bachelor,2,44,40031
60,Finance,Master,8,32,72600
61,HR,Master,2,28,44711
62,HR,Bachelor,2,28,38753
63,IT,Bachelor,8,31,69113
64,IT,Master,11,24,89315
65,HR,Bachelor,4,37,50504
66,Finance,Master,9,27,82982
67,IT,Bachelor,10,42,82759
68,Finance,Master,13,38,99613
69,IT,Bachelor,4,41,52353
70,IT,Master,4,44,52945
71,HR,Bachelor,6,42,61494
72,IT,Master,15,38,112955
73,HR,Bachelor,3,37,46580
74,IT,Bachelor,13,36,97786
75,Finance,Bachelor,14,30,101739
76,HR,Bachelor,3,40,42352
77,Finance,Master,15,43,111899
78,Finance,Bachelor,12,23,92879
79,Finance,Master,13,36,100514
80,Finance,Bachelor,12,44,92317
81,HR,Master,3,22,51619
82,IT,Master,8,30,76763
83,Finance,Bachelor,8,33,72590
84,IT,Master,2,45,44715
85,HR,Master,3,37,48351
86,HR,Bachelor,3,34,42469
87,Finance,Bachelor,6,43,58558
88,Finance,Bachelor,6,43,62156
89,HR,Master,3,33,49751
90,Finance,Master,10,35,82789
91,IT,Bachelor,10,27,77272
92,IT,Bachelor,13,40,97153
93,Finance,Bachelor,15,38,104542
94,HR,Master,10,39,83395
95,IT,Bachelor,3,38,45380
96,IT,Master,6,43,65767
97,IT,Master,1,37,39606
98,IT,Bachelor,4,37,52889
99,HR,Bachelor,14,34,102824
100,HR,Master,11,35,89272
