Age,Income,Education,Loan_Approved
25,Low,Graduate,No
32,High,Post-Graduate,Yes
28,Medium,Graduate,Yes
45,High,Graduate,Yes
22,Low,Under-Graduate,No
38,Medium,Post-Graduate,Yes
50,High,Post-Graduate,Yes
27,Low,Under-Graduate,No
33,Medium,Graduate,Yes
41,High,Graduate,Yes
24,Low,Graduate,No
36,High,Post-Graduate,Yes
29,Medium,Under-Graduate,No
48,High,Graduate,Yes
26,Low,Under-Graduate,No
35,Medium,Graduate,Yes
42,High,Post-Graduate,Yes
23,Low,Graduate,No
37,Medium,Post-Graduate,Yes
52,High,Graduate,Yes
30,Low,Under-Graduate,No
44,High,Post-Graduate,Yes
27,Medium,Graduate,Yes
31,Low,Graduate,No
46,High,Graduate,Yes
25,Medium,Under-Graduate,No
39,High,Post-Graduate,Yes
28,Low,Under-Graduate,No
43,Medium,Graduate,Yes
55,High,Post-Graduate,Yes
21,Low,Under-Graduate,No
34,Medium,Graduate,Yes
47,High,Graduate,Yes
26,Low,Graduate,No
40,High,Post-Graduate,Yes
29,Medium,Under-Graduate,Yes
53,High,Graduate,Yes
24,Low,Under-Graduate,No
36,Medium,Post-Graduate,Yes
49,High,Graduate,Yes
22,Low,Graduate,No
38,High,Post-Graduate,Yes
31,Medium,Graduate,Yes
44,High,Graduate,Yes
27,Low,Under-Graduate,No
33,Medium,Post-Graduate,Yes
50,High,Graduate,Yes
25,Low,Graduate,No
42,High,Post-Graduate,Yes
28,Medium,Under-Graduate,No
35,Medium,Graduate,Yes
46,High,Graduate,Yes
23,Low,Under-Graduate,No
37,High,Post-Graduate,Yes
30,Medium,Graduate,Yes
54,High,Graduate,Yes
26,Low,Under-Graduate,No
40,Medium,Post-Graduate,Yes
48,High,Graduate,Yes
21,Low,Graduate,No
34,High,Post-Graduate,Yes
29,Medium,Graduate,Yes
43,High,Graduate,Yes
27,Low,Under-Graduate,No
39,Medium,Post-Graduate,Yes
51,High,Graduate,Yes
24,Low,Graduate,No
36,High,Graduate,Yes
31,Medium,Under-Graduate,Yes
45,High,Post-Graduate,Yes
22,Low,Under-Graduate,No
38,Medium,Graduate,Yes
49,High,Graduate,Yes
25,Low,Graduate,No
42,High,Post-Graduate,Yes
28,Medium,Under-Graduate,No
35,High,Graduate,Yes
47,High,Post-Graduate,Yes
23,Low,Under-Graduate,No
37,Medium,Graduate,Yes
52,High,Graduate,Yes
26,Low,Graduate,No
40,High,Post-Graduate,Yes
30,Medium,Graduate,Yes
44,High,Graduate,Yes
27,Low,Under-Graduate,No
33,Medium,Post-Graduate,Yes
50,High,Graduate,Yes
24,Low,Graduate,No
41,High,Post-Graduate,Yes
29,Medium,Under-Graduate,No
46,High,Graduate,Yes
22,Low,Under-Graduate,No
38,High,Post-Graduate,Yes
32,Medium,Graduate,Yes
45,High,Graduate,Yes
27,Low,Under-Graduate,No
34,Medium,Post-Graduate,Yes
53,High,Graduate,Yes
26,Low,Graduate,No
