CGPA,Internships,Projects,Certifications,Aptitude_Score,Backlogs,Placement
7.9,3,1,1,93,0,Yes
6.0,2,3,0,94,1,Yes
8.5,4,2,4,52,0,Yes
5.8,4,6,5,90,2,Yes
5.7,3,5,0,94,1,Yes
8.4,1,6,4,65,3,Yes
9.7,2,1,3,67,3,Yes
9.1,3,3,4,70,0,Yes
6.4,0,1,5,87,0,Yes
6.6,4,3,5,97,1,Yes
7.3,4,6,1,50,2,Yes
9.0,1,2,2,76,2,Yes
6.0,3,2,4,56,3,No
6.8,2,2,5,75,0,Yes
6.7,1,3,3,81,0,Yes
9.6,2,5,3,46,1,Yes
7.4,3,4,5,73,0,Yes
5.9,1,3,0,58,1,No
8.9,1,2,1,45,1,Yes
6.6,0,5,3,65,0,Yes
5.6,0,5,5,76,0,Yes
9.4,2,3,2,48,1,Yes
6.7,1,1,5,83,3,Yes
7.0,2,6,0,87,1,Yes
9.0,2,4,3,91,3,Yes
6.7,2,1,0,66,0,Yes
8.6,1,3,1,83,0,Yes
5.9,4,2,0,87,1,Yes
7.4,1,3,2,71,0,Yes
7.9,1,4,5,73,1,Yes
8.6,4,4,0,63,1,Yes
9.0,2,3,2,90,1,Yes
7.1,2,6,5,58,3,Yes
6.1,0,2,0,54,1,No
6.0,2,2,1,66,3,No
8.9,4,5,5,45,1,Yes
9.4,2,3,4,85,0,Yes
7.3,1,1,0,70,1,Yes
8.8,1,3,1,86,0,Yes
9.7,0,5,0,49,2,Yes
9.3,2,3,4,92,1,Yes
8.0,2,3,5,65,1,Yes
7.8,2,5,4,91,1,Yes
7.5,3,1,2,83,0,Yes
5.9,2,5,3,74,1,Yes
6.6,1,3,3,61,2,Yes
5.8,1,3,3,92,0,Yes
6.4,3,6,0,94,1,Yes
6.2,4,2,2,61,0,Yes
6.2,1,4,1,81,3,Yes
8.9,3,4,3,84,2,Yes
8.3,1,6,2,83,0,Yes
7.4,1,3,1,63,1,Yes
8.6,4,6,4,86,2,Yes
7.7,1,3,5,52,3,No
7.3,2,3,1,85,2,Yes
7.5,4,3,5,49,2,Yes
8.2,4,3,1,45,2,Yes
5.9,1,6,4,92,0,Yes
8.0,1,4,3,90,2,Yes
7.1,0,3,1,53,0,Yes
8.1,3,2,1,55,0,Yes
6.3,4,3,2,45,3,No
8.3,0,2,0,56,2,No
5.7,1,5,3,94,1,Yes
7.0,4,5,4,66,2,Yes
9.8,4,2,0,67,1,Yes
7.0,4,1,5,59,2,Yes
5.7,3,2,0,50,2,No
5.8,2,2,1,85,2,Yes
7.7,0,5,3,56,3,No
6.7,4,5,0,77,2,Yes
9.6,3,1,3,72,1,Yes
6.2,1,5,4,64,1,Yes
5.9,2,6,0,76,3,Yes
6.3,3,4,4,84,1,Yes
5.5,0,4,3,62,2,No
6.6,1,5,1,87,2,Yes
7.0,0,3,4,66,0,Yes
6.2,0,1,5,57,1,Yes
7.5,2,4,0,45,1,Yes
8.9,3,3,1,55,0,Yes
8.7,0,1,4,75,1,Yes
9.0,1,6,1,76,0,Yes
7.2,3,4,3,82,1,Yes
9.4,1,6,2,53,2,Yes
8.9,0,6,2,83,3,Yes
9.5,2,4,0,77,2,Yes
5.9,0,2,4,72,0,Yes
8.8,0,3,5,66,1,Yes
9.0,0,3,0,48,0,Yes
6.1,2,2,5,97,2,Yes
6.6,2,4,1,85,1,Yes
8.8,1,1,5,86,3,Yes
6.8,2,4,1,60,2,Yes
6.1,4,6,5,89,3,Yes
9.8,3,3,5,93,1,Yes
7.8,3,1,5,68,1,Yes
5.9,3,3,1,86,2,Yes
9.3,1,6,2,59,2,Yes
8.0,1,3,4,85,3,Yes
7.1,1,2,2,65,0,Yes
9.1,2,2,4,64,1,Yes
8.2,1,3,4,66,1,Yes
7.7,4,2,0,51,1,Yes
7.3,2,5,2,51,3,No
8.5,4,3,3,50,3,Yes
9.3,1,1,5,56,3,Yes
8.4,3,4,0,83,3,Yes
8.9,4,4,4,72,1,Yes
6.5,1,6,2,81,1,Yes
6.8,1,2,4,85,3,Yes
7.9,1,6,4,86,1,Yes
5.6,3,4,2,89,1,Yes
8.0,0,5,0,66,3,Yes
7.1,0,3,1,75,1,Yes
9.7,2,3,1,60,2,Yes
7.9,3,5,1,69,3,Yes
7.0,4,2,1,47,2,No
8.6,1,6,0,72,3,Yes
