Height,Salary,Category
188,82256,Fit
178,65222,Fit
164,93335,Unfit
157,40965,Unfit
170,54538,Unfit
188,38110,Unfit
168,57266,Unfit
172,82992,Fit
160,36910,Unfit
160,30206,Unfit
173,53419,Unfit
185,80636,Fit
189,80015,Fit
173,84268,Fit
152,48141,Unfit
171,86044,Fit
151,97214,Unfit
173,63827,Fit
179,85820,Fit
187,92623,Fit
151,52299,Unfit
170,73585,Unfit
182,94044,Fit
161,72557,Unfit
171,79080,Fit
174,32693,Unfit
176,99163,Fit
177,55939,Unfit
165,78925,Unfit
164,72941,Unfit
152,51834,Unfit
186,48047,Unfit
156,56105,Unfit
170,45707,Unfit
158,51976,Unfit
188,74262,Fit
167,53776,Unfit
153,60080,Unfit
174,96842,Fit
163,91373,Unfit
158,36776,Unfit
175,85016,Fit
151,39474,Unfit
169,88053,Unfit
177,51959,Unfit
156,35530,Unfit
157,33748,Unfit
184,43545,Unfit
163,96199,Unfit
166,64766,Unfit
185,91087,Fit
189,98840,Fit
153,84384,Unfit
151,81005,Unfit
155,76576,Unfit
153,69353,Unfit
178,92003,Fit
167,82733,Unfit
175,95318,Fit
183,53664,Unfit
159,97172,Unfit
185,56736,Unfit
163,30854,Unfit
180,68623,Fit
164,37392,Unfit
157,85680,Unfit
163,76717,Unfit
172,80859,Fit
189,56309,Unfit
170,93734,Unfit
165,82662,Unfit
167,42688,Unfit
173,55342,Unfit
175,67157,Fit
174,97863,Fit
190,82083,Fit
178,95733,Fit
164,64698,Unfit
150,52671,Unfit
174,55184,Unfit
156,72107,Unfit
158,81663,Unfit
173,45708,Unfit
150,79811,Unfit
157,32811,Unfit
173,86250,Fit
160,64754,Unfit
166,41411,Unfit
157,32911,Unfit
184,97270,Fit
184,38680,Unfit
182,41111,Unfit
154,67504,Unfit
188,31802,Unfit
190,38155,Unfit
177,69384,Fit
156,77254,Unfit
158,51918,Unfit
157,90713,Unfit
161,60306,Unfit
