StudyHours,Attendance,Assignments,PreviousMarks,Result
7,84,6,61,Pass
4,86,3,85,Pass
8,96,6,69,Pass
5,63,10,77,Pass
7,52,7,77,Pass
3,50,10,84,Pass
7,54,0,90,Pass
8,75,5,93,Pass
5,63,7,47,Pass
4,88,4,66,Pass
8,76,3,66,Pass
8,58,1,73,Pass
3,64,5,60,Fail
6,64,5,69,Pass
5,75,10,72,Pass
2,91,0,67,Fail
8,62,8,86,Pass
6,100,10,72,Pass
2,81,5,44,Fail
5,88,2,87,Pass
1,98,3,58,Fail
6,81,10,43,Pass
9,53,3,74,Pass
1,79,2,88,Fail
3,86,9,56,Pass
7,72,2,83,Pass
4,88,2,67,Pass
9,94,3,69,Pass
3,64,6,68,Pass
5,92,3,85,Pass
3,78,8,92,Pass
7,85,0,45,Pass
5,62,7,74,Pass
9,81,6,80,Pass
7,56,1,76,Pass
2,100,7,63,Pass
4,71,0,68,Fail
9,77,10,88,Pass
2,51,8,85,Pass
9,91,8,92,Pass
5,94,1,70,Pass
2,55,6,74,Fail
4,77,9,72,Pass
7,77,2,91,Pass
8,93,6,60,Pass
3,93,9,71,Pass
1,69,8,62,Fail
4,79,3,72,Pass
2,60,0,42,Fail
8,77,1,57,Pass
4,74,0,64,Fail
2,88,4,81,Pass
6,82,4,70,Pass
6,50,10,93,Pass
4,76,6,42,Pass
6,62,8,79,Pass
2,90,8,85,Pass
2,52,2,63,Fail
4,88,2,89,Pass
8,55,2,71,Pass
7,57,3,86,Pass
9,76,7,61,Pass
8,58,5,62,Pass
5,86,7,41,Pass
2,82,0,66,Fail
5,100,7,81,Pass
8,91,3,41,Pass
9,93,10,65,Pass
9,73,0,56,Pass
1,64,7,79,Fail
9,81,3,72,Pass
7,81,5,48,Pass
9,73,7,82,Pass
8,90,3,93,Pass
1,98,2,87,Pass
8,98,8,78,Pass
8,61,2,68,Pass
3,88,8,81,Pass
1,51,1,94,Fail
8,52,1,65,Pass
3,98,1,74,Pass
3,86,5,89,Pass
1,98,2,64,Fail
5,66,8,63,Pass
7,98,3,52,Pass
9,51,0,46,Pass
7,51,3,75,Pass
9,77,0,84,Pass
8,72,4,59,Pass
2,86,3,40,Fail
1,81,7,47,Fail
7,82,7,85,Pass
7,50,6,55,Pass
8,68,2,53,Pass
5,51,0,51,Fail
3,93,0,90,Pass
8,75,10,62,Pass
6,81,2,54,Pass
3,55,5,67,Fail
1,81,6,73,Pass
