square_feet,bhk,pincode,price
2660,4,380013,18943520
2621,5,380005,20513546
1187,3,380007,7994977
1761,3,380007,7307209
2605,4,380002,11719320
1821,4,380015,7276154
1610,3,380005,8537390
2631,4,380015,17267462
3146,5,380007,19593648
1087,2,380015,6379581
1045,2,380007,5029335
2755,4,380009,16196780
1305,3,380001,7076275
1087,2,380002,4790827
1176,2,380002,4137336
969,2,380013,7117262
2816,4,380013,10326992
3291,5,380015,27013969
2179,4,380015,11980098
2564,5,380015,15426352
535,1,380013,2144185
1518,3,380001,11955532
2730,5,380015,17800270
727,1,380002,4657608
2598,5,380013,16128254
1646,3,380001,9975740
404,1,380009,3317172
1492,3,380005,6413596
451,1,380006,2405407
3930,5,380009,19474540
1640,3,380006,8404080
1185,3,380002,7408865
3512,5,380008,28793192
1989,4,380001,9374634
515,1,380015,2555230
1748,3,380007,14267692
1473,3,380013,10015792
2936,4,380001,23296824
2936,4,380007,20529456
586,1,380001,4368842
919,2,380008,4021826
3748,5,380001,25274552
752,2,380008,6444112
1283,3,380001,5441778
3383,5,380002,11835451
1610,3,380001,10707920
1986,4,380008,11824846
3159,5,380006,14861671
1610,3,380005,10662590
2288,4,380001,12156192
1172,2,380002,8695492
962,2,380015,6940566
401,1,380001,2905923
3560,5,380009,19089360
498,1,380005,2866990
1503,3,380013,10035073
515,1,380001,2499175
2053,4,380005,13543699
498,1,380015,3318578
862,2,380015,6641754
467,1,380001,3709231
3315,5,380006,16067005
1500,3,380001,9212500
2754,4,380005,21684010
3062,5,380008,20535948
1325,3,380007,11128225
683,1,380001,5365284
2615,4,380005,20833830
416,1,380007,2585040
1991,3,380015,8833460
2996,5,380007,11873576
1799,3,380001,8056061
3480,5,380009,15650320
1227,3,380002,6529232
1265,2,380005,6642175
987,2,380008,5105082
854,2,380002,6446678
503,1,380001,3902523
3258,5,380005,16821978
412,1,380009,3227972
2519,5,380001,18257593
2270,4,380002,18818830
1764,3,380008,8997260
753,2,380007,5081372
2803,4,380007,22926807
3491,5,380006,25992722
1922,3,380013,14883608
805,2,380005,6690360
1703,3,380009,8130407
3997,5,380007,24404486
795,1,380007,3977880
1212,2,380002,4733508
636,1,380007,5352912
3203,5,380007,18026682
1175,3,380005,7399200
3743,5,380007,23969674
493,1,380006,3981164
2711,4,380007,21598306
2156,4,380009,13500444
2561,4,380005,14907329
724,1,380006,4666988
1196,2,380006,6065652
2489,4,380005,14357803
578,1,380007,4265714
1655,3,380002,9798630
734,2,380009,4817664
1117,2,380005,4489072
2625,4,380007,12724500
1512,3,380013,6366736
3520,5,380015,14086000
1156,2,380013,7218616
498,1,380006,2821214
3892,5,380009,21818792
754,1,380015,5591808
2528,4,380008,19819776
1118,3,380001,4405610
3756,5,380005,27984276
683,1,380006,5687118
1066,2,380007,7015240
1495,3,380015,9627310
3674,5,380015,16073788
3565,5,380009,23528110
832,2,380005,3555024
1942,3,380002,15856932
2832,4,380001,18719568
3691,5,380015,23270163
1733,3,380002,8487820
3688,5,380008,20943568
3865,5,380006,19148200
700,1,380006,3638900
2244,4,380008,12580216
1813,3,380005,13583942
1272,3,380002,6017096
1175,2,380013,9840700
400,1,380005,2248400
1989,4,380015,9331646
2623,4,380001,9027859
1255,2,380007,9474625
2702,5,380007,12553500
1631,3,380015,7691536
413,1,380001,2025548
1755,3,380009,8329515
2467,4,380007,11095715
2475,4,380013,15148875
2339,4,380007,17561104
2301,4,380001,13483908
2551,4,380005,16982524
955,2,380007,5090290
409,1,380013,1882973
950,2,380007,4284250
773,1,380001,4224189
666,1,380007,5037228
741,1,380001,5397000
804,2,380005,3272040
710,1,380008,5655410
596,1,380007,2928160
3176,5,380005,17082448
1784,3,380006,14118496
687,1,380002,4629853
949,2,380002,7568817
1990,3,380002,15272370
453,1,380007,3004761
1924,3,380001,15461356
3352,5,380002,18188944
1202,3,380008,10126518
1005,2,380002,4799790
1534,3,380002,7263754
565,1,380001,2672270
2341,4,380009,15350357
1180,3,380007,9982560
1937,4,380013,13466264
1207,2,380006,7739417
3045,5,380008,23308500
1142,3,380005,4943920
1473,3,380013,6473227
2080,4,380005,11014960
1766,3,380002,13257496
750,2,380005,6224250
1233,2,380007,4813859
745,2,380002,4121160
772,2,380015,4611492
1930,3,380001,10366150
754,1,380006,4607564
727,2,380009,4215875
1064,2,380013,9018592
1722,3,380009,10672434
1850,3,380002,9696100
518,1,380007,2898850
738,2,380015,3720448
825,2,380015,5991700
1824,4,380006,6452384
508,1,380002,2840264
1910,4,380008,15621380
635,1,380005,3724720
3191,5,380002,21806174
1976,3,380008,14140512
688,1,380007,4197792
3123,5,380006,21112783
1545,3,380013,9799150
646,1,380005,2344332
3047,5,380013,10286235
1167,2,380006,4713715
493,1,380013,3923477
1491,3,380005,6824231
2523,4,380001,20052921
539,1,380001,4386711
2638,5,380006,14318588
1772,3,380008,14475020
960,2,380009,4976080
2697,4,380013,19034961
2120,4,380007,12267120
664,1,380013,3675232
1705,3,380001,8459820
2035,4,380002,15938015
2875,5,380015,17350625
1646,3,380001,11129586
2672,4,380007,12397008
3688,5,380007,22821824
1177,3,380006,4897200
3565,5,380015,20575685
1736,3,380008,13995120
552,1,380001,2554896
803,2,380005,5356330
