Study_Hours,Attendance,Sleep_Time,Previous_Score,Marks
2,60,5,50,35
3,65,6,55,48
4,70,6,60,48
5,75,7,65,51
6,80,7,70,54
7,85,8,75,63
8,90,8,80,68
9,95,9,85,66
4,68,6,58,44
5,72,7,62,44
6,78,7,68,48
7,82,8,72,63
8,88,8,78,62
3,64,5,54,35
2,61,5,52,35
9,96,9,88,76
5,74,7,64,54
6,79,7,69,64
7,84,8,74,62
8,89,8,79,72
4,69,6,59,52
3,66,5,56,48
2,62,5,53,41
9,97,9,89,67
5,76,7,66,48
6,81,7,71,55
7,86,8,76,62
8,91,8,81,65
4,71,6,61,42
3,67,5,57,47
2,63,5,54,39
9,98,9,90,67
5,77,7,67,59
6,82,7,72,55
7,87,8,77,66
8,92,8,82,66
4,72,6,62,54
3,68,5,58,37
2,64,5,55,44
9,99,9,91,82
5,78,7,68,48
6,83,7,73,57
7,88,8,78,58
8,93,8,83,61
4,73,6,63,45
3,69,5,59,44
2,65,5,56,35
9,94,9,87,75
5,79,7,69,47
6,84,7,74,60
7,89,8,79,59
8,94,8,84,73
1,55,4,45,38
2,58,5,48,41
3,62,5,52,38
4,66,6,56,49
5,70,6,60,47
6,74,7,64,60
7,78,7,68,61
8,82,8,72,67
9,86,8,76,70
10,90,9,80,70
2,57,5,47,41
3,61,5,51,43
4,65,6,55,35
5,69,6,59,46
6,73,7,63,52
7,77,7,67,48
8,81,8,71,64
9,85,8,75,64
10,89,9,79,72
1,54,4,44,39
2,59,5,49,35
3,63,5,53,35
4,67,6,57,39
5,71,6,61,41
6,75,7,65,49
7,79,7,69,58
8,83,8,73,60
9,87,8,77,66
10,91,9,81,69
1,56,4,46,35
2,60,5,50,36
3,64,5,54,44
4,68,6,58,38
5,72,6,62,41
6,76,7,66,61
7,80,7,70,54
8,84,8,74,57
9,88,8,78,70
10,92,9,82,70
1,53,4,43,35
2,61,5,51,35
3,65,5,55,35
4,69,6,59,42
5,73,6,63,56
6,77,7,67,59
7,81,7,71,53
8,85,8,75,55
9,89,8,79,63
10,93,9,83,77
